10200675,,"=LEFT(e2, 1)",01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",'Current Internal','-',Instructor
offen,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
olesen,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
olmanda,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Lecturer
opapaemm,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
opapaemm,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
oprian,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,
oprian,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
oprian,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
ospinaleon,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
palais,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
palvarez,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
pamjoshi,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal," Associate Director of the Institute on Children, Youth and Families",Director
pamjoshi,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Senior Scientist and Lecturer,Senior Scientist
panick,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
panick,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,
paradis,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
paradis,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
paradis,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
parker,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
parmenti,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
paultherrien,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
pdixon,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
penning,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
pepstein,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
perlman,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
perlman,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
perloff,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
petsko,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,
pfirchow,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
pgamsby,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
pgarrity,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor of Biology,Professor
pgarrity,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
pgarrity,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
pgould,,,01BRAND_INST___CC27300,"Peace, Conflict, and Coexistence Studies Program",Current Internal,,Lecturer
pjankows,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Professor
pjankows,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
pkalb,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,Cynthia L. and Theodore S. Berenson Associate Professor of Contemporary Art,Associate Professor
pkalb,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
pkasili,,,01BRAND_INST___CC30800,Myra Kraft Transitional Year Program,Current Internal, Instructor in the Myra Kraft Transitional Year Program,Instructor
plotz,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
plotz,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
pmay,,,01BRAND_INST___CC26700,Journalism Program,Current Internal,,
pme89,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
pmenoret,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Professor
pmiller,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
pmiller,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
pmiller,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
pmiller,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
pmistark,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
pmorriso,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
pmorriso,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
pochapsk,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
pochapsk,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
pollack,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
pollack,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
polonsky,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
ppetri,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
ppichler,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
pquint,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
pratisthaj,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Adjunct Lecturer,Adjunct Lecturer
press,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
professorrue,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
prottas,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
proychoudhury,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
pstock,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
pstock,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
pstock,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Associate Professor
pvzljr,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
pwang,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
pwang,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
pwang,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,Helaine and Alvin Allen Chair in Literature,
pwang,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,,
pwells,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Senior Lecturer
qiangwang,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
qsxia,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Professor
quinney,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
quinney,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
quinney,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,
r2evans,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
rachelmoody,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
rahulkrishna,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,Instructor in Mathematics,Instructor
rakowski,,,01BRAND_INST___CC11200,Department of Music,Current Internal,Walter W. Naumburg Professor of Composition,
ralterma,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
ralterma,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
ralterma,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
randall,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
randall,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
randall,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
randall,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,
randall,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
randall,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
rangell,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
raquelsaenz,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Lecturer
rashann,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
ratzlaff,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,
ravid,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
rbkramer,,,01BRAND_INST___CC25000,Education Program,Current Internal,Senior Lecturer in Education and Elementary Faculty Leader,Senior Lecturer
rbolton,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
rclarke,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
rduff,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
redenius,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
reif,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
reimer,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,
reimer,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
reinharz,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
ren,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
ren,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
rfmiller,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
rfmiller,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
rfmiller,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
rfmiller,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
rfmiller,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,
rfmiller,,,01BRAND_INST___CC26200,History of Ideas Program,Current Internal,,
rgodoy,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Professor of International Development,Professor
rgreenbe,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,Professor
rheda0001,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
rherriman,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
rimaf,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
ringe,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,
ringe,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
ringe,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
ringe,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
ritter,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
rivo,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
rkabrhel,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,Lecturer in Legal Studies,Lecturer
rmarshal,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
rmorrone,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
roberts,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
rohleder,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
rosbash,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor of Biology,Professor
rosbash,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
rosbash,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,Peter Gruber Endowed Chair,
rpod,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
rpsalas,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,Professor
rpsalas,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Professor
rreitano,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
rsampath,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
rsampath,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
rsampath,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Associate Professor
rschroeder,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,Professor of Geography in the Department of Anthropology,Professor
rspack,,,01BRAND_INST___CC30800,Myra Kraft Transitional Year Program,Current Internal,,Instructor
rtannen,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
rtorrey,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Associate Professor
ruberman,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Professor
ruesch,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,Lecturer
rwalsh,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Associate Professor of the Practice
ryang,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
saaschec,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
saler,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Professor Emeritus/a
salmeida,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
samet,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,Associate Professor
samet,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
sarashank,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
sarna,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Joseph H. and Belle R. Braun Professor of American Jewish History,Professor
sarna,,,01BRAND_INST___CC18500,Department of History,Current Internal,Joseph H. and Belle R. Braun Professor of American Jewish History,Professor
sathomas,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
saxe,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,Klutznick Professor of Contemporary Jewish Studies,Professor
sberhane,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
sberhane,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
sbrown,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
schagant,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
schnitzr,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,"Edward & Gertrude Swartz Professor of Theoretical Physics, Emeritus",Professor
schoenle,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Associate Professor
schoenle,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
schrecke,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
schulz,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
schumann,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
schwalbe,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Professor Emeritus/a
schwarz,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Professor Emeritus/a
sciolla,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,Professor of Physics,Professor
scott,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Professor
scott,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,Professor
scott,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Professor
scott,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,Professor
scuri,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
scuri,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,
sdeptula,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
sdupree,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
seaton,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
sekuler,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,Louis and Frances Salvage Professor of Psychology,Professor
sekuler,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,Professor of Neuroscience,Professor
sekuler,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,Professor of Neuroscience,Professor
sengupta,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor of Neurobiology,Professor
sengupta,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,Professor of Neurobiology,Professor
sengupta,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,Professor of Neurobiology,Professor
servino,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Associate Professor
sethi,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,Assistant Professor
sfein,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
sfeldman,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
sfreedma,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
sgent0001,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,"Instructor in the Rabb School of Continuing Studies, Division of Graduate Professional Studies",Instructor
sh40,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
sh40,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,Professor
shantanu,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Assistant Professor
shantanu,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
shantanu,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
shashayang,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Lecturer
shaw1892,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
sheehy,,,01BRAND_INST___Library,Library,Current Internal,Brandeis National Committee University Librarian,
shepard,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
sheppard,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal," Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",Associate Professor
sheppard,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal," Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",Associate Professor
sheppard,,,01BRAND_INST___CC18500,Department of History,Current Internal," Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",Associate Professor
sheppard,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal," Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",Associate Professor
sheppard,,,01BRAND_INST___CC26200,History of Ideas Program,Current Internal," Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press",Associate Professor
shevitz,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,Associate Professor Emeritus/a
shholc,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
shihuifan,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
shiller,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Assistant Professor
shiller,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Assistant Professor
shoniquaroach,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
shoniquaroach,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
shorr,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,Senior Lecturer
simister,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Associate Professor
simon,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,Professor
simon,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
simonxi,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
sirianni,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Professor
sirianni,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
skadener,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Associate Professor of Biology,Associate Professor
skadener,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
skadener,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
skadener,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
slupis,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
slupis,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
slupis,,,01BRAND_INST___CC30800,Myra Kraft Transitional Year Program,Current Internal,,
smalamud,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
smalamud,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
smalamud,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
smalamud,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
smalamud,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,
smccau,,,01BRAND_INST___CC12400,Department of English,Current Internal,Professor of the Practice of English and Co-Director of the Creative Writing Program,
smiley,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,Professor
smiley,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Professor
smiley,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Professor
snemser,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
snemser,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
snider,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor
sohrabi,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Professor
somd86,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
spagliaccio,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
spmw,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
spmw,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,,
sreeniva,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,Associate Professor
sreeniva,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Associate Professor
sreeniva,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,Associate Professor
sreeniva,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,Associate Professor
srohr,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor
ssaluk,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
sshostak,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
sshostak,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
sshostak,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
sshostak,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,
sshostak,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
ssoleimani,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Assistant Professor
staves,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Professor Emeritus/a
stepner,,,01BRAND_INST___CC11200,Department of Music,Current Internal,Professor Emeritus of the Practice of Music,Professor Emeritus/a
stevenostrow,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,
stevensass,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Lecturer
stevenwilson,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Assistant Professor
stimell,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,Professor
stone,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor Emeritus/a
storer,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,Professor
storer,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Professor
straussl,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
suderow,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
suebergamo,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
sundiata,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Professor Emeritus/a
susancarman,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
sutera,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Lecturer in Biology,Lecturer
swhitfie,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,"Max Richter Professor of American Civilization, Emeritus",Professor
szobel,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,Associate Professor
szobel,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,Associate Professor
szobel,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Associate Professor
tamaru,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
targoff,,,01BRAND_INST___CC12400,Department of English,Current Internal,Professor of English,Professor
targoff,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,Professor of English,Professor
targoff,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,Professor of English,Professor
tcowen,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
teuber,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,Associate Professor of Philosophy,Associate Professor
teuber,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,Associate Professor of Philosophy,Associate Professor
tevlin,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
tfai,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
tfai,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
tgrigor,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Associate Professor
thaxton,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,Professor of Politics,Professor
theobal,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,Associate Professor of Biochemistry,Associate Professor
timothysong,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
tjhickey,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,Professor of Computer Science,Professor
tjhickey,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
tjhickey,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
tjhickey,,,01BRAND_INST___CC30800,Myra Kraft Transitional Year Program,Current Internal,,
tjohn,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Associate Professor of the Practice,Associate Professor
