Primary_Identifier,Affiliation_Unit_Code,Affiliation_Unit_Name,Affiliation_Unit_Type,Affiliation_Position,Affiliation_Position_Title,,
sheppard,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor,"Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",,
sheppard,CC12300,Department of Philosophy,Current_Internal,Associate Professor,"Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",,
sheppard,CC26200,History of Ideas Program,Current_Internal,Associate Professor,"Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press",,
sheppard,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,Associate Professor,"Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",,
shevitz,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,Associate Professor Emeritus/a,,,
shholc,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
shihuifan,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
shiller,CC18400,Department of Economics,Current_Internal,Assistant Professor,,,
shiller,CC43100,International Business School,Current_Internal,Assistant Professor,,,
shoniquaroach,CC18100,Department of African and African American Studies,Current_Internal,,,,
shoniquaroach,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
shorr,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Senior Lecturer,,,
simister,CC16200,Department of Biology,Current_Internal,Associate Professor,,,
simon,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
simon,CC18320,South Asian Studies Program,Current_Internal,Professor,,,
simonxi,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
sirianni,CC18800,Department of Sociology,Current_Internal,Professor,,,
sirianni,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
skadener,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
skadener,CC16200,Department of Biology,Current_Internal,Associate Professor,Associate Professor of Biology,,
skadener,CC27200,Neuroscience Program,Current_Internal,,,,
skadener,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
slupis,CC18700,Department of Psychology,Current_Internal,,,,
slupis,CC25000,Education Program,Current_Internal,,,,
slupis,CC30800,Myra Kraft Transitional Year Program,Current_Internal,,,,
smalamud,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
smalamud,CC18300,Department of Anthropology,Current_Internal,,,,
smalamud,CC12300,Department of Philosophy,Current_Internal,,,,
smalamud,CC26900,Linguistics and Computational Linguistics,Current_Internal,,,,
smalamud,CC16600,Michtom School of Computer Science,Current_Internal,,,,
smccau,CC12400,Department of English,Current_Internal,,Professor of the Practice of English and Co-Director of the Creative Writing Program,,
smiley,CC12300,Department of Philosophy,Current_Internal,Professor,,,
smiley,CC18600,Department of Politics,Current_Internal,Professor,,,
smiley,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Professor,,,
snemser,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
snemser,CC25000,Education Program,Current_Internal,,,,
snider,CC16500,Department of Chemistry,Current_Internal,Professor,,,
sohrabi,CC18500,Department of History,Current_Internal,Professor,,,
somd86,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
spagliaccio,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
spmw,CC12500,Department of Romance Studies,Current_Internal,,,,
spmw,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,,,,
sreeniva,CC18500,Department of History,Current_Internal,Associate Professor,,,
sreeniva,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,Associate Professor,,,
sreeniva,CC27100,Medieval and Renaissance Studies Program,Current_Internal,Associate Professor,,,
sreeniva,CC18320,South Asian Studies Program,Current_Internal,Associate Professor,,,
srohr,CC16500,Department of Chemistry,Current_Internal,Professor,,,
ssaluk,CC18300,Department of Anthropology,Current_Internal,,,,
sshostak,CC18800,Department of Sociology,Current_Internal,,,,
sshostak,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
sshostak,CC25700,Environmental Studies Program,Current_Internal,,,,
sshostak,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,,,,
sshostak,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
ssoleimani,CC11100,Department of Fine Arts,Current_Internal,Assistant Professor,,,
staves,CC12400,Department of English,Current_Internal,Professor Emeritus/a,,,
stepner,CC11200,Department of Music,Current_Internal,Professor Emeritus/a,Professor Emeritus of the Practice of Music,,
stevenostrow,CC12100,Department of Classical Studies,Current_Internal,,,,
stevensass,CC18400,Department of Economics,Current_Internal,Lecturer,,,
stevenwilson,CC18600,Department of Politics,Current_Internal,Assistant Professor,,,
stimell,CC25100,Legal Studies Program,Current_Internal,Professor,,,
stone,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor Emeritus/a,,,
storer,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor,,,
storer,CC16600,Michtom School of Computer Science,Current_Internal,Professor,,,
straussl,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
suderow,CC43100,International Business School,Current_Internal,,,,
suebergamo,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
sundiata,CC18500,Department of History,Current_Internal,Professor Emeritus/a,,,
susancarman,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
sutera,CC16200,Department of Biology,Current_Internal,Lecturer,Lecturer in Biology,,
swhitfie,CC18200,American Studies Program,Current_Internal,Professor,,,
szobel,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor,,,
szobel,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Associate Professor,,,
szobel,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Associate Professor,,,
tamaru,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
targoff,CC12400,Department of English,Current_Internal,Professor,Professor of English,,
targoff,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,Professor,Professor of English,,
targoff,CC27100,Medieval and Renaissance Studies Program,Current_Internal,Professor,Professor of English,,
tcowen,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
teuber,CC12300,Department of Philosophy,Current_Internal,Associate Professor,,,
teuber,CC25100,Legal Studies Program,Current_Internal,Associate Professor,,,
tevlin,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
tfai,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
tfai,CC16700,Department of Mathematics,Current_Internal,,,,
tgrigor,CC11100,Department of Fine Arts,Current_Internal,Associate Professor,,,
thaxton,CC18600,Department of Politics,Current_Internal,Professor,,,
theobal,CC16100,Department of Biochemistry,Current_Internal,Associate Professor,Associate Professor of Biochemistry,,
timothysong,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
tjhickey,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
tjhickey,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
tjhickey,CC16600,Michtom School of Computer Science,Current_Internal,Professor,Professor of Computer Science,,
tjhickey,CC30800,Myra Kraft Transitional Year Program,Current_Internal,,,,
tjohn,CC40100,Heller School for Social Policy and Management,Current_Internal,Associate Professor,Associate Professor of the Practice,,
tking,CC12400,Department of English,Current_Internal,Associate Professor,Associate Professor of English,,
tlam,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,,,,
tmbrown,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
tmitch,CC18700,Department of Psychology,Current_Internal,,,,
toddchapin,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
tohall,CC11200,Department of Music,Current_Internal,,,,
tompkins,CC40100,Heller School for Social Policy and Management,Current_Internal,Associate Professor,Associate Professor; Director of Institute on Healthcare Systems,,
tonishapiro,CC27900,"Creativity, the Arts, and Social Transformation Program",Current_Internal,Associate Professor,,,
tqueler,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
tracigreen,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
troen,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Professor Emeritus/a,,,
tsekourakis,CC16600,Michtom School of Computer Science,Current_Internal,Associate Professor,,,
tshapiro,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
tsipis,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
tslocz,CC18400,Department of Economics,Current_Internal,Assistant Professor,,,
tslocz,CC43100,International Business School,Current_Internal,Assistant Professor,,,
tsouza,CC11200,Department of Music,Current_Internal,Lecturer,,,
tstreet,CC16100,Department of Biochemistry,Current_Internal,Associate Professor,,,
tstreet,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,Associate Professor,,,
ttoth,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
turrigia,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor,Joseph Levitan Professor of Vision Science,,
turrigia,CC16200,Department of Biology,Current_Internal,Professor,Joseph Levitan Professor of Vision Science,,
tuttle,CC16500,Department of Chemistry,Current_Internal,Professor Emeritus/a,,,
uanjaria,CC12400,Department of English,Current_Internal,,,,
uanjaria,CC18320,South Asian Studies Program,Current_Internal,,,,
ungerlei,CC27300,"Peace, Conflict, and Coexistence Studies Program",Current_Internal,Lecturer,,,
unglaub,CC11100,Department of Fine Arts,Current_Internal,Associate Professor,,,
unglaub,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,Associate Professor,,,
unglaub,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Associate Professor,,,
unglaub,CC27100,Medieval and Renaissance Studies Program,Current_Internal,Associate Professor,,,
urcid,CC18300,Department of Anthropology,Current_Internal,Professor,,,
valakh,CC16200,Department of Biology,Current_Internal,,,,
vanhoosr,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Associate Professor,Associate Professor of Biology,,
vanhoosr,CC16200,Department of Biology,Current_Internal,Associate Professor,Associate Professor of Biology,,
vanhoosr,CC27200,Neuroscience Program,Current_Internal,Associate Professor,Associate Professor of Biology,,
vanmoerb,CC16700,Department of Mathematics,Current_Internal,Professor Emeritus/a,Professor Emeritus of Mathematics,,
vayntrub,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Adjunct Assistant Professor,,,
vchaudhry,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
voiret,CC12500,Department of Romance Studies,Current_Internal,Assistant Professor,,,
vonmerin,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Professor,,,
vonmerin,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Professor,,,
vonmerin,CC25700,Environmental Studies Program,Current_Internal,Professor,,,
vsmedile,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
wangh,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
wardle,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,,,
wardwell,CC11100,Department of Fine Arts,Current_Internal,,,,
warrenschwartz,CC11100,Department of Fine Arts,Current_Internal,Lecturer,,,
watson,CC18700,Department of Psychology,Current_Internal,Professor Emeritus/a,,,
wcadge,CC18800,Department of Sociology,Current_Internal,,,,
wcadge,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
wchalmus,CC11400,Department of Theater Arts,Current_Internal,,,,
weiw,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,,,
wellner,CC26900,Linguistics and Computational Linguistics,Current_Internal,Lecturer,,,
wellner,CC16600,Michtom School of Computer Science,Current_Internal,Lecturer,,,
westover,CC16100,Department of Biochemistry,Current_Internal,Assistant Professor,,,
white,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
willrich,CC18500,Department of History,Current_Internal,Professor,,,
willrich,CC18600,Department of Politics,Current_Internal,Professor,,,
willrich,CC25100,Legal Studies Program,Current_Internal,Professor,,,
wilmes,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Assistant Professor,,,
wilmes,CC16700,Department of Mathematics,Current_Internal,Assistant Professor,,,
wingfiel,CC18700,Department of Psychology,Current_Internal,,,,
wkapelle,CC18500,Department of History,Current_Internal,,,,
wkapelle,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,,,,
wkapelle,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
wmuigai,CC18100,Department of African and African American Studies,Current_Internal,,,,
wmuigai,CC18500,Department of History,Current_Internal,,,,
wmuigai,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,,,,
wodinsky,CC18700,Department of Psychology,Current_Internal,Professor Emeritus/a,,,
woll,CC18600,Department of Politics,Current_Internal,Professor Emeritus/a,,,
wooden,CC11400,Department of Theater Arts,Current_Internal,Assistant Professor,,,
woodruff,CC16200,Department of Biology,Current_Internal,Assistant Professor,,,
wright,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Professor,,,
wrogers,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
wuzengcn,CC40100,Heller School for Social Policy and Management,Current_Internal,,Associate Research Professor at the Schneider Institutes for Health Policy,,
xinghang,CC18500,Department of History,Current_Internal,Associate Professor,,,
xinghang,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
xiwenlu,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
xixiran,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
xji,CC18400,Department of Economics,Current_Internal,,,,
xji,CC25700,Environmental Studies Program,Current_Internal,,,,
xliu0806,CC18700,Department of Psychology,Current_Internal,,,,
xuen,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Associate Professor,,,
xuen,CC26900,Linguistics and Computational Linguistics,Current_Internal,Associate Professor,,,
xuen,CC16600,Michtom School of Computer Science,Current_Internal,Associate Professor,,,
xumsimon,CC16200,Department of Biology,Current_Internal,Lecturer,,,
xvidalberastain,CC43100,International Business School,Current_Internal,Instructor,,,
yack,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Professor,,,
yack,CC18600,Department of Politics,Current_Internal,,,,
yangs,CC43100,International Business School,Current_Internal,Assistant Professor,,,
ychang,CC11200,Department of Music,Current_Internal,,,,
yfeng,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
ylbecker,CC43100,International Business School,Current_Internal,,,,
yourgrau,CC12300,Department of Philosophy,Current_Internal,Professor,,,
yourgrau,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,Professor,,,
ypark,CC16700,Department of Mathematics,Current_Internal,,,,
yukimi,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Senior Lecturer,,,
yuridoolan,CC18500,Department of History,Current_Internal,,,,
yuridoolan,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
zalbert,CC18600,Department of Politics,Current_Internal,,,,
zalipsco,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
zalipsco,CC12450,University Writing Program,Current_Internal,Lecturer,,,
zdogic,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
zebrowit,CC18700,Department of Psychology,Current_Internal,Professor,Manuel Yellen Professor of Social Relations,,
zeitlin,CC18300,Department of Anthropology,Current_Internal,Professor Emeritus/a,,,
zhaojiezhang,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
zhenw,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,,,
ztreimer,CC25000,Education Program,Current_Internal,Associate Professor,"Jack, Joseph and Morton Mandel Assistant Professor of Jewish Education",,
,,,,,,,
,,,,,,,
